Longitude,Latitude,Name,Address
-77.032392,38.905336,"WAWA [no fuel]-Washington,DC","1 Thomas Circle NW, Washington DC,DC 20005|(202) 916-8884|24 Hrs|6007"
-77.04292,38.90441,"WAWA [no fuel]-Washington,DC","1111 19th St Nw, Washington,DC 20036|(202) 470-1816|24 hrs|6001"
-77.06319,38.90586,"WAWA [no fuel]-Washington,DC","1222 Wisconsin Avenue, Washington,DC 20007|(202) 559-2717|24 hrs|6003"
-77.029055,38.899595,"WAWA [Diesel]-Washington,DC","1250 H Street NW, Washington,DC 20005|(202) 552-5524|12:AM-12:AM|6008"
-77.03362,38.92853,"WAWA [no fuel]-Washington,DC","1400 Irving Street Nw, Washington,DC 20010|(202) 470-0238|24 hrs|6005"
-77.04266,38.92137,"WAWA [no fuel]-Washington,DC","2424 18th Street Nw, Washington,DC 20009|(202) 559-2683|24 hrs|6006"
-77.07916,38.94884,"WAWA [no fuel]-Washington,DC","4530 40th Street Nw A, Washington,DC 20016|(202) 558-0404|24 hrs|6004"
-75.660427,39.631847,"WAWA [no fuel]-Bear,DE","1100 Pulaski Highway, Bear,DE 19701|(302) 834-0249|24 hrs|823"
-75.69455,39.61942,"WAWA [Diesel]-Bear,DE","1605 Pulaski Highway, Bear,DE 19702|(302) 838-8050|24 hrs|844"
-75.68428,39.58462,"WAWA [Diesel]-Bear,DE","3601 Wrangle Hill Road, Bear,DE 19701|(302) 298-0854|24 hrs|870"
-75.070702,38.539963,"WAWA [no fuel]-Bethany Beach,DE","774 Garfield Parkway, Bethany Beach,DE 19930|(302) 537-2663|24 hrs|836"
-75.53937,39.112665,"WAWA [Diesel]-Camden,DE","200 East Street, Camden,DE 19934|(302) 455-7791|24 hrs|876"
-75.44432,39.81258,"WAWA [no fuel]-Claymont,DE","201 Naamans Rd, Claymont,DE 19703|(302) 798-9899|24 hrs|816"
-75.46908,39.79428,"WAWA [Diesel]-Claymont,DE","2621 Philadelphia Pike, Claymont,DE 19703|(302) 798-2411|24 hrs|854"
